	StationID	Valid_time	Temperature_c	Relative_Humidity	Incoming_Solar_Radiation	Wind_Speed_ms	Wind_Direction_degree	Hourly_Precipitation_cm	2inch_Soil_Temperature_c	6inch_Soil_Temperature_c	Wind_Gust_ms	Wind_Gust_Direction_degree	Timezone	Wind_Direction	Wind_Gust_Direction	Name	Temperature_f	2inch_Soil_Temperature_f	6inch_Soil_Temperature_f	Wind_Speed_mph	Wind_Gust_mph	Hourly_Precipitation_in
0	yum02	2020-11-05 00:00:00	11.02	43.5	0.0	3.5	291.5	0.0	11.45	12.63	5.225	287.1	MT	WNW	WNW	Yuma	51.836	52.61	54.734	7.83	11.688	0.0
1	yum02	2020-11-05 01:00:00	8.53	51.0	0.0	2.38	274.8	0.0	10.94	12.28	4.175	268.8	MT	W	W	Yuma	47.354	51.692	54.104	5.31	9.339	0.0
2	yum02	2020-11-05 02:00:00	5.791	60.1	0.0	2.31	290.3	0.0	10.28	11.9	3.8	292.6	MT	WNW	WNW	Yuma	42.424	50.504	53.42	5.16	8.5	0.0
3	yum02	2020-11-05 03:00:00	6.276	58.3	0.0	2.98	281.3	0.0	9.67	11.48	4.175	291.9	MT	W	WNW	Yuma	43.297	49.406	52.664	6.67	9.339	0.0
4	yum02	2020-11-05 04:00:00	5.201	61.3	0.0	1.97	270.8	0.0	9.13	11.06	2.975	269.2	MT	W	W	Yuma	41.362	48.434	51.908	4.41	6.655	0.0
5	yum02	2020-11-05 05:00:00	4.225	65.0	0.0	1.98	273.4	0.0	8.6	10.66	2.975	270.6	MT	W	W	Yuma	39.605	47.48	51.188	4.43	6.655	0.0
6	yum02	2020-11-05 06:00:00	3.343	68.2	0.0	1.77	267.7	0.0	8.1	10.25	2.9	254.7	MT	W	WSW	Yuma	38.017	46.58	50.45	3.96	6.487	0.0
7	yum02	2020-11-05 07:00:00	3.19	68.7	1.122	1.93	244.9	0.0	7.614	9.85	2.9	263.2	MT	WSW	W	Yuma	37.742	45.705	49.73	4.33	6.487	0.0
8	yum02	2020-11-05 08:00:00	6.562	59.0	9.52	1.54	253.1	0.0	7.669	9.5	2.825	261.0	MT	WSW	W	Yuma	43.812	45.804	49.1	3.43	6.319	0.0
9	yum02	2020-11-05 09:00:00	12.66	42.3	18.5	2.13	254.0	0.0	9.11	9.39	3.65	239.0	MT	WSW	WSW	Yuma	54.788	48.398	48.902	4.76	8.165	0.0
10	yum02	2020-11-05 10:00:00	17.55	27.6	26.45	2.87	221.1	0.0	11.29	9.74	4.775	210.4	MT	SW	SSW	Yuma	63.59	52.322	49.532	6.42	10.681	0.0
11	yum02	2020-11-05 11:00:00	20.55	18.6	31.73	3.83	196.2	0.0	13.64	10.53	6.05	219.6	MT	SSW	SW	Yuma	68.99	56.552	50.954	8.57	13.533	0.0
12	yum02	2020-11-05 12:00:00	22.17	16.6	33.77	2.98	210.4	0.0	15.76	11.6	5.075	223.9	MT	SSW	SW	Yuma	71.906	60.368	52.88	6.67	11.352	0.0
13	yum02	2020-11-05 13:00:00	23.33	15.2	32.3	2.15	204.2	0.0	17.46	12.77	4.25	196.2	MT	SSW	SSW	Yuma	73.994	63.428	54.986	4.82	9.507	0.0
14	yum02	2020-11-05 14:00:00	24.17	13.6	27.57	1.22	209.1	0.0	18.53	13.9	3.425	232.9	MT	SSW	SW	Yuma	75.506	65.354	57.02	2.73	7.662	0.0
15	yum02	2020-11-05 15:00:00	24.3	13.3	19.97	2.37	165.5	0.0	18.77	14.81	5.825	149.5	MT	SSE	SSE	Yuma	75.74	65.786	58.658	5.29	13.03	0.0
16	yum02	2020-11-05 16:00:00	23.33	14.6	10.71	2.74	179.1	0.0	18.21	15.37	4.7	166.3	MT	S	SSE	Yuma	73.994	64.778	59.666	6.13	10.514	0.0
17	yum02	2020-11-05 17:00:00	18.8	21.6	1.843	1.58	197.6	0.0	16.96	15.5	2.9	176.0	MT	SSW	S	Yuma	65.84	62.528	59.9	3.52	6.487	0.0
18	yum02	2020-11-05 18:00:00	15.38	27.3	0.003	2.25	183.4	0.0	15.43	15.25	4.1	197.9	MT	S	SSW	Yuma	59.684	59.774	59.45	5.03	9.171	0.0
19	yum02	2020-11-05 19:00:00	13.38	31.8	0.0	2.76	199.5	0.0	14.35	14.77	4.175	182.2	MT	SSW	S	Yuma	56.084	57.83	58.586	6.18	9.339	0.0
20	yum02	2020-11-05 20:00:00	9.94	39.9	0.0	2.66	207.6	0.0	13.36	14.25	4.025	214.0	MT	SSW	SSW	Yuma	49.892	56.048	57.65	5.95	9.004	0.0
21	yum02	2020-11-05 21:00:00	7.33	48.6	0.0	2.59	204.2	0.0	12.38	13.71	3.425	208.1	MT	SSW	SSW	Yuma	45.194	54.284	56.678	5.79	7.662	0.0
22	yum02	2020-11-05 22:00:00	7.283	49.4	0.0	2.55	200.7	0.0	11.54	13.15	4.1	217.0	MT	SSW	SW	Yuma	45.109	52.772	55.67	5.7	9.171	0.0
23	yum02	2020-11-05 23:00:00	8.33	45.8	0.0	3.47	203.7	0.0	10.88	12.61	5.075	224.1	MT	SSW	SW	Yuma	46.994	51.584	54.698	7.76	11.352	0.0
